,0,Tau
0,AT1G24520,0.8793274014229999
1,AT1G31250,0.9652960647700002
2,AT1G35230,0.7814527862739999
3,AT1G63530,0.7803564900130001
4,AT1G63540,0.0
5,AT2G14890,0.20931329997900003
6,AT2G22470,0.620172787362
7,AT2G28440,0.6818750415610001
8,AT2G45000,0.262138993826
9,AT2G47930,0.25292234401
10,AT3G01700,0.872344307606
11,AT3G06360,0.779395526514
12,AT3G22070,0.484352506593
13,AT3G45230,0.25072830611200003
14,AT4G09030,0.301183537984
15,AT4G16980,0.49341768990199997
16,AT4G40090,0.8560203054800001
17,AT5G10430,0.372123441369
18,AT5G14380,0.8620530364710001
19,AT5G18690,0.320540158488
20,AT5G64310,0.408152014756
21,AT5G65390,0.534128201805
22,AT1G68725,0.477364242774
23,AT2G23130,0.443047864506
24,AT4G37450,0.275027154401
25,AT1G51915,0.900268774144
26,AT1G55330,0.20548877506700003
27,AT2G41905,0.793374106074
28,AT2G46330,0.24782717788400002
29,AT3G01730,0.948923367535
30,AT3G13520,0.334660940541
31,AT3G20865,0.821585459862
32,AT3G57690,0.855918741857
33,AT3G61640,0.367748804553
34,AT4G26320,0.847030035232
35,AT5G11740,0.22775814581099998
36,AT5G12880,0.756270734757
37,AT5G24105,0.720574048528
38,AT5G40730,0.553674526175
39,AT5G53250,0.6508376647899999
40,AT5G56540,0.643653936841
41,AT1G03870,0.388253670759
42,AT1G15190,0.7420237423170001
43,AT2G04780,0.250654302486
44,AT2G20520,0.9212819825190001
45,AT2G24450,0.935681062057
46,AT2G35860,0.261468732059
47,AT2G45470,0.23717343079599998
48,AT3G11700,0.15016462419399998
49,AT3G12660,1.0
50,AT3G46550,0.38906329921099997
51,AT3G52370,0.455714168572
52,AT3G60900,0.602204225368
53,AT4G12730,0.31198640857099996
54,AT4G31370,0.85700036146
55,AT5G03170,0.307787241762
56,AT5G06390,0.24302990213700001
57,AT5G06920,0.0
58,AT5G40940,0.0
59,AT5G44130,0.42898853127400005
60,AT5G55730,0.356611050872
61,AT5G60490,0.369631765282
62,AT2G23990,0.9906768260400001
63,AT2G25060,0.46978235483999997
64,AT2G26720,1.0
65,AT2G31050,0.0
66,AT2G32300,0.7553329704080001
67,AT2G44790,0.654061773213
68,AT3G20570,0.32223197482
69,AT3G60270,0.992658346261
70,AT3G60280,0.931569055658
71,AT4G27520,0.32791931154
72,AT4G28365,0.0
73,AT4G30590,0.92558070374
74,AT4G31840,0.470643248831
75,AT4G32490,0.9492818983299999
76,AT5G25090,0.521682578909
77,AT5G26330,0.547014134066
78,AT5G53870,0.7337944950669999
79,AT1G03820,0.640817300069
80,AT1G28290,0.343685278624
81,AT1G36150,0.0
82,AT2G33790,0.8202972474469999
83,AT5G21160,0.2124899412
84,AT5G56330,0.0
85,AT1G26240,0.900631734217
86,AT1G26250,0.857375316002
87,AT4G08370,0.0
88,AT4G13390,0.823427961523
89,AT5G19810,0.8836975107200001
90,AT1G23720,0.77509926337
91,AT2G24980,0.855449603236
92,AT2G43150,0.443146435651
93,AT3G28550,0.7896640830920001
94,AT3G54580,0.826512858883
95,AT3G54590,0.8166522006810001
96,AT4G08400,0.859670925772
97,AT4G08410,0.8555279530500001
98,AT5G06630,0.8567692120270001
99,AT5G06640,0.8573752000660001
100,AT5G35190,0.835149657631
101,AT5G49080,0.857290425677
102,AT1G21310,0.537118513384
103,AT1G76930,0.449262932919
104,AT4G08380,0.0
105,AT1G02405,0.81975946662
106,AT1G23040,0.481204446917
107,AT1G54215,0.907875001297
108,AT1G70990,0.787037286152
109,AT3G06750,0.278612849326
110,AT3G20850,0.902532421866
111,AT3G49270,0.825764755393
112,AT4G16140,0.37529835851899995
113,AT5G11990,0.602572879156
114,AT5G19800,0.87704321581
115,AT5G26080,0.9170198423520001
116,AT5G49280,0.41032813286200004
117,AT1G12040,0.890046347159
118,AT1G49490,0.82796453639
119,AT1G62440,0.834809766613
120,AT2G15880,0.675269784387
121,AT3G19020,0.8113609925730001
122,AT3G22800,0.780464217415
123,AT3G24480,0.225421100407
124,AT4G13340,0.244934182091
125,AT4G18670,0.323131372455
126,AT4G33970,0.9088296025799999
127,AT5G25550,0.9708952011669999
128,AT1G10620,0.9679618197059999
129,AT1G23540,0.93606200972
130,AT1G26150,0.324891099083
131,AT1G49270,0.959846434206
132,AT1G52290,0.526617431524
133,AT1G70460,0.9020261453039999
134,AT2G18470,0.8798030867739999
135,AT3G18810,0.9412682673989999
136,AT3G24540,0.958786344576
137,AT3G24550,0.23578814608399998
138,AT4G32710,0.5112247898269999
139,AT4G34440,0.948477905035
140,AT5G38560,0.191013199645
141,AT3G11030,0.411342429732
142,AT3G19430,0.857508813504
143,AT3G53330,0.0
144,AT1G62760,0.842031722382
145,AT3G50580,0.0
146,AT4G11430,0.9873636919600001
147,AT4G22470,0.808948259348
148,AT1G15825,0.548940557743
149,AT1G54970,0.891632218308
150,AT2G21140,0.543762770103
151,AT2G27380,0.9952868912639999
152,AT2G47530,0.90018028332
153,AT3G50570,0.696095844129
154,AT3G62680,0.834316311168
155,AT4G38770,0.34731115411200003
156,AT5G09520,0.7709068734710001
157,AT5G09530,0.692777596372
158,AT5G15780,0.420193054635
159,AT5G59170,0.9498561420730001
160,AT1G09460,0.506875306007
161,AT1G62500,0.653902636777
162,AT2G10940,0.409450143662
163,AT3G22120,0.41562039125399997
164,AT4G15160,0.596657728899
165,AT5G14920,0.389410365934
